name,class,branch,faction,stars,position,tags,trait,availability,icon,description,phrase,file_no.,gender,height,mobility,endurance,internal_name,base_hp,elite_1_hp,elite_2_hp,max_hp,trust_hp,base_atk,elite_1_atk,elite_2_atk,max_atk,trust_atk,base_def,elite_1_def,elite_2_def,max_def,trust_def,base_res,elite_1_res,elite_2_res,max_res,base_redeploy,elite_1_redeploy,elite_2_redeploy,max_redeploy,base_dp_cost,elite_1_dp_cost,elite_2_dp_cost,max_dp_cost,base_block,elite_1_block,elite_2_block,max_block,base_interval,elite_1_interval,elite_2_interval,max_interval,images,experience,place_of_birth,date_of_birth,race,infection_status,strength,tactical_acumen,combat_skill,arts_adaptability
Lava the Purgatory,Caster,Splash,Rhodes Island,5-star,Ranged,['DPS'],Deals AOE Arts Damage,Who is Real (Ask Yourself),https://static.wikia.nocookie.net/mrfz/images/7/72/Lava_the_Purgatory_icon.png/revision/latest/scale-to-width-down/120?cb=20210205131858,"Rhodes Island Caster Operator, Lava the Purgatory, skillfully creates space for you with her outstanding Originium Arts.",Her Arts have grown immensely stronger since when she was fresh aboard Rhodes Island.,RF01,Female,158 cm,Excellent,Normal,char_1011_lava2,692,962,1203,1543,,370,522,670,798,90.0,46,70,96,115,,10,10,15,20,80s,80s,80s,80s,32,32,35,35,1,1,1,1,2.9s,2.9s,2.9s,2.9s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/a/a0/Lava_the_Purgatory.png/revision/latest?cb=20210205160552', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/8/8d/Lava_the_Purgatory_Elite_2.png/revision/latest?cb=20210205160619', 'Dusk Wisteria': 'https://static.wikia.nocookie.net/mrfz/images/3/32/Lava_the_Purgatory_Skin_1.png/revision/latest?cb=20220110131332'}",Undisclosed,Victoria,June 22nd,Sarkaz,"Originium crystals distributed across the surface of her body, confirmed Infected by medical examination.",Excellent,Excellent,Standard,Standard
Leizi,Caster,Chain,Yan,5-star,Ranged,['DPS'],Attacks deal Arts damage and jump to 3/4 other enemies. Each jump deals 15% less damage and inflicts a brief Slow,Headhunting; [CN] Recruitment,https://static.wikia.nocookie.net/mrfz/images/c/cc/Leizi_icon.png/revision/latest/scale-to-width-down/120?cb=20200225104629,"Leizi, judicial officer from the Supervisory Department of Great Yan, will cooperate with Rhodes Island for a few operations.",Have I seen you before somewhere?,YD05,Female,171 cm,Excellent,Standard,char_306_leizi,590,843,1096,1443,,295,411,527,635,75.0,47,72,99,119,,10,10,15,20,70s,70s,70s,70s,29,29,32,32,1,1,1,1,2.3s,2.3s,2.3s,2.3s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/8/8f/Leizi.png/revision/latest?cb=20200225104511', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/b/b1/Leizi_Elite_2.png/revision/latest?cb=20200225104521'}",5 years,Yan,March 5th,Kirin,Confirmed uninfected by medical examination.,Standard,Excellent,Excellent,Outstanding
Leonhardt,Caster,Splash,Rim Billiton,5-star,Ranged,"['AOE', 'Nuker']",Deals AOE Arts Damage,Headhunting,https://static.wikia.nocookie.net/mrfz/images/1/14/Leonhardt_icon.png/revision/latest/scale-to-width-down/120?cb=20200618201013,"Leonhardt, Catastrophe Messenger, is your go-to guy for when you need a difficult obstacle crushed.",It is forbidden to bring him a pile of rocks and ask him to identify them.,RB03,Male,165 cm,Standard,Standard,char_373_lionhd,734,1020,1276,1637,,359,506,649,773,90.0,47,72,100,120,,10,10,15,20,70s,70s,70s,70s,30,30,33,33,1,1,1,1,2.9s,2.9s,2.9s,2.9s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/7/78/Leonhardt.png/revision/latest?cb=20200618201011', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/3/3a/Leonhardt_Elite_2.png/revision/latest?cb=20200618201013', 'Finder in the Rough': 'https://static.wikia.nocookie.net/mrfz/images/1/14/Leonhardt_Skin_1.png/revision/latest?cb=20200926184942', 'Hope Cruise': 'https://static.wikia.nocookie.net/mrfz/images/b/b3/Leonhardt_Skin_2.png/revision/latest?cb=20211221102715'}",2 years,Rim Billiton,August 13th,Cautus,Confirmed infected by medical examination.,Normal,Standard,Excellent,Excellent
Liskarm,Defender,Protector,Blacksteel,5-star,Melee,"['Defense', 'DPS']",Blocks 3 enemies,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/f/f7/Liskarm_icon.png/revision/latest/scale-to-width-down/120?cb=20190620082934,"Liskarm, Defender Operator of B.P.R.S. of Blacksteel, possesses both a solid shield and a sharp spear.",Her spear-like lightning will pierce all enemies in front of her.,BS02,Female,156 cm,Normal,Excellent,char_107_liskam,1307,1743,2324,3240,,219,281,352,425,45.0,256,383,518,710,45.0,0,0,0,0,70s,70s,70s,70s,18,18,20,22,3,3,3,3,1.2s,1.2s,1.2s,1.2s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/4/4f/Liskarm.png/revision/latest?cb=20190627031238', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/6/69/Liskarm_Elite_2.png/revision/latest?cb=20190627031239', 'Spring Vouivre': 'https://static.wikia.nocookie.net/mrfz/images/2/2d/Liskarm_Skin_1.png/revision/latest?cb=20200201081839', 'Overload': 'https://static.wikia.nocookie.net/mrfz/images/7/76/Liskarm_Skin_2.png/revision/latest?cb=20210406105204'}",3 years,Vouivre,May 18th,Vouivre,Medical tests confirm uninfected status.,Standard,Standard,Excellent,Excellent
Manticore,Specialist,Ambusher,Sargon,5-star,Melee,"['DPS', 'Survival']",Deals Damage to all targets within range50% chance to dodge Physical and Arts attacks and is less likely to be targeted by enemies,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/8/86/Manticore_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083004,"Manticore, Specialist Operator of Rhodes Island, will hunt down enemies silently with her scorpion tail.",I'm right here!,SG01,Female,155 cm,Excellent,Standard,char_215_mantic,777,1080,1385,1630,,378,511,656,811,60.0,141,218,284,343,30.0,10,10,20,30,70s,70s,70s,70s,18,18,20,20,0,0,0,0,3.5s,3.5s,3.5s,3.5s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/0/03/Manticore.png/revision/latest?cb=20190724033643', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/b/bd/Manticore_Elite_2.png/revision/latest?cb=20190724033715', 'Invisible Dirge': 'https://static.wikia.nocookie.net/mrfz/images/a/a6/Manticore_Skin_1.png/revision/latest?cb=20200602082210'}",1 year,Sargon,Unknown,Manticore,Infection confirmed by medical examination.,Excellent,Standard,Excellent,Excellent
Mayer,Supporter,Summoner,Rhine Lab,5-star,Ranged,"['Summon', 'Crowd-Control']",Deals Arts DamageCan use Summons in battles,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/0/07/Mayer_icon.png/revision/latest/scale-to-width-down/120?cb=20190620095646,"Mayer, researcher of Rhine Lab, is ready for combat with her Meeboos.",A genius at multitasking in all aspects.,RL05,Female,159 cm,Standard,Standard,char_242_otter,480,649,843,1068,200.0,199,285,380,443,35.0,56,80,107,130,,15,15,20,20,70s,70s,70s,70s,9,9,11,11,1,1,1,1,1.6s,1.6s,1.6s,1.6s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/5/5e/Mayer.png/revision/latest?cb=20190625063655', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/2/23/Mayer_Elite_2.png/revision/latest?cb=20190625063656', 'Visionblazer in the Courtyard': 'https://static.wikia.nocookie.net/mrfz/images/4/40/Mayer_Skin_1.png/revision/latest?cb=20201015205104'}",None,Columbia,November 20th,Anaty,Medical tests have confirmed that no infection is present.,Normal,Excellent,Standard,Normal
Meteorite,Sniper,Artilleryman,Rhodes Island,5-star,Ranged,"['AoE', 'Debuff']",Deals AOE Physical Damage,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/b/bd/Meteorite_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083051,"Meteorite, Sniper Operator of Rhodes Island, is ready to pound enemies with her barrage.",She will fulfill her duties as long as she still has a weapon in her hands.,ST03,Female,170 cm,Standard,Standard,char_219_meteo,770,963,1204,1505,,377,539,674,865,85.0,59,77,98,116,,0,0,0,0,70s,70s,70s,70s,24,24,26,28,1,1,1,1,2.8s,2.8s,2.8s,2.8s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/9/9e/Meteorite.png/revision/latest?cb=20190724034920', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/1/11/Meteorite_Elite_2.png/revision/latest?cb=20190724034944', 'Graphite': 'https://static.wikia.nocookie.net/mrfz/images/d/d1/Meteorite_Skin_1.png/revision/latest?cb=20200201080811'}",6 years,Kazdel,August 30th,Sarkaz,Infection confirmed by medical examination.,Excellent,Standard,Excellent,Standard
Mint,Caster,Phalanx,Victoria,5-star,Ranged,"['AoE', 'Crowd-Control']","Normally does not attack, but has greatly increased DEF and RES; When skill is active, attacks deal AoE Arts Damage",Rewinding Breeze (Flea Market),https://static.wikia.nocookie.net/mrfz/images/4/4e/Mint_icon.png/revision/latest/scale-to-width-down/120?cb=20200924072141,"Mint, the Victorian Caster, seeks recognition as a scholar far more than as a Caster.",Curiosity is her greatest weapon.,VC08,Female,155 cm,Normal,Normal,char_388_mint,1020,1275,1594,1945,,377,503,629,732,75.0,125,146,170,196,15.0,15,15,15,15,80s,80s,80s,80s,23,23,25,25,1,1,1,1,2s,2s,2s,2s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/1/13/Mint.png/revision/latest?cb=20200924034413', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/4/42/Mint_Elite_2.png/revision/latest?cb=20200924034501'}",None,Victoria,February 5th,Feline,"Originium crystals distributed across the surface of her body, confirmed Infected by medical examination.",Normal,Standard,Normal,Excellent
Mr. Nothing,Specialist,Merchant,Yan,5-star,Melee,"['Fast-Redeploy', 'DPS']","Has reduced Redeployment Time, but DP Cost is not refunded upon retreating; While deployed, 3 DP are consumed every 3 seconds (automatically retreats without sufficient DP).",Headhunting,https://static.wikia.nocookie.net/mrfz/images/b/bf/Mr._Nothing_icon.png/revision/latest/scale-to-width-down/120?cb=20210205131844,"The Yan martial artist, Mr. Nothing, holds back from scarpering and stands guard on the battlefield.","He's armed with a parasol, a fan and a mouth. Who can say if he has anything else on him too?",YD11,Male,187 cm,Standard,Excellent,char_455_nothin,1165,1534,1894,2398,200.0,346,474,601,725,40.0,204,262,336,396,,0,0,0,0,25s,25s,25s,25s,6,6,8,8,1,1,1,1,1s,1s,1s,1s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/c/c2/Mr._Nothing.png/revision/latest?cb=20210205152106', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/8/8d/Mr._Nothing_Elite_2.png/revision/latest?cb=20210205152136', 'Pale Rising Moon': 'https://static.wikia.nocookie.net/mrfz/images/2/29/Mr._Nothing_Skin_1.png/revision/latest?cb=20220125125415'}",7 years,Yan,January 13th,Liberi,Medical tests have confirmed that no infection is present.,Standard,Normal,Excellent,Standard
Mulberry,Medic,Wandering,Yan,5-star,Ranged,['Healing'],Restores the HP of allied units and recovers Elemental Damage by 50% of ATK (can recover Elemental Damage of unhurt allied units),Headhunting,https://static.wikia.nocookie.net/mrfz/images/5/58/Mulberry_icon.png/revision/latest/scale-to-width-down/120?cb=20210917041645,"Mulberry, of the rescue team, carries out her work conscientiously.","Regardless of position or status, life always comes first.",YD03,Female,158 cm,Standard,Normal,char_473_mberry,750,987,1175,1367,150.0,136,223,310,388,35.0,43,63,79,99,,10,10,10,10,70s,70s,70s,70s,13,13,15,15,1,1,1,1,2.85s,2.85s,2.85s,2.85s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/8/83/Mulberry.png/revision/latest?cb=20210917044759', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/7/7f/Mulberry_Elite_2.png/revision/latest?cb=20210917044754', 'Plant Crude Drug': 'https://static.wikia.nocookie.net/mrfz/images/c/cb/Mulberry_Skin_1.png/revision/latest?cb=20220315100024'}",None,Yan,June 26th,Liberi,"Originium crystals lightly distributed across surface of body, confirmed Infected by medical examination.",Normal,Normal,Normal,Standard
Nearl,Defender,Guardian,Followers,5-star,Melee,"['Defense', 'Healing']",Can heal allies by using the skill,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/0/03/Nearl_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083054,"Nearl, former knight of Kazimierz, is a core member on the battlefield with her defense and healing skills.",It feels relieving to have her by your side.,FO02,Female,171 cm,Excellent,Excellent,char_148_nearl,1154,1560,2001,2780,,191,273,369,462,40.0,240,353,471,575,50.0,10,10,10,10,70s,70s,70s,70s,17,17,19,21,2,2,3,3,1.2s,1.2s,1.2s,1.2s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/5/5e/Nearl.png/revision/latest?cb=20190724040435', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/c/ca/Nearl_Elite_2.png/revision/latest?cb=20190724040514', 'Shimmering Dew SD01': 'https://static.wikia.nocookie.net/mrfz/images/3/34/Nearl_Skin_1.png/revision/latest?cb=20200728203730'}",5 years,Kazimierz,April 23rd,Kuranta,Infection confirmed by medical report.[1],Excellent,Excellent,Excellent,Excellent
Nightmare,Caster,Core,Victoria,5-star,Ranged,"['DPS', 'Healing', 'Slow']",Deals Arts Damage,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/6/6e/Nightmare_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083134,"Nightmare, Caster Operator of Rhodes Island, will provide help with her Originium Arts, no matter which personality is in at the moment.",I'm not quite sure who's standing in front of me.,VC03,Female,156 cm,Standard,Normal,char_164_nightm,658,941,1223,1510,,281,396,522,622,70.0,45,77,107,120,,10,10,15,20,70s,70s,70s,70s,18,18,20,20,1,1,1,1,1.6s,1.6s,1.6s,1.6s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/9/9b/Nightmare.png/revision/latest?cb=20190724041942', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/e/eb/Nightmare_Elite_2.png/revision/latest?cb=20190724042006', 'Light and Shadow': 'https://static.wikia.nocookie.net/mrfz/images/a/af/Nightmare_Skin_1.png/revision/latest?cb=20200719100051'}",6 months,Victoria,June 1st,Feline,"Visible internal blotches, infection confirmed.",Normal,Normal,Standard,Excellent
Nine-Colored Deer,Supporter,Abjurer,Yan,5-star,Ranged,"['Support', 'Survival']","Deals Arts Damage; When skill is active, focuses on healing allies instead of attacking (healing amount is 75% of this unit's ATK)",[CN only?] Who is Real Rerun (Dawning Blessing login event),https://static.wikia.nocookie.net/mrfz/images/3/33/Nine-Colored_Deer_icon.png/revision/latest/scale-to-width-down/120?cb=20220110094729,Nine-Colored Deer the Blesser shall protect you forever.,"The tranquil forest with rustling bamboos, shall thy lead the ten thousands through the mystic dawn.[note 1]",YD09,Female,172 cm,Normal,Standard,char_4019_ncdeer,660,972,1314,1685,350.0,200,286,367,443,35.0,83,119,157,179,,15,15,20,25,70s,70s,70s,70s,9,9,11,11,1,1,1,1,1.6s,1.6s,1.6s,1.6s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/4/41/Nine-Colored_Deer.png/revision/latest?cb=20220110094627', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/a/ad/Nine-Colored_Deer_Elite_2.png/revision/latest?cb=20220110094701'}",None,Yan,December 8th,Elafia,Medical tests have confirmed that no infection is present.,Normal,Excellent,Standard,Standard
Platinum,Sniper,Marksman,Kazimierz,5-star,Ranged,['DPS'],Attacks aerial enemies first,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/4/49/Platinum_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083233,"Platinum, member of Armorless Union, will provide versatile fire support on the battlefield.","A carefree girl, and the nightmare of all knights.",KZ03,Female,160 cm,Excellent,Normal,char_204_platnm,693,991,1271,1550,,169,279,405,495,75.0,58,97,139,165,,0,0,0,0,70s,70s,70s,70s,11,11,13,13,1,1,1,1,1s,1s,1s,1s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/a/ac/Platinum.png/revision/latest?cb=20190627031445', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/e/ea/Platinum_Elite_2.png/revision/latest?cb=20190627031446', 'Shimmering Dew SD05': 'https://static.wikia.nocookie.net/mrfz/images/4/49/Platinum_Skin_1.png/revision/latest?cb=20200811102026'}",6 years,Kazimierz,February 13th,Kuranta,Medical tests have confirmed that no infection is present.,Standard,Standard,Excellent,Standard
Pramanix,Supporter,Hexer,Karlan Commercial,5-star,Ranged,['Debuff'],Deals Arts Damage,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/f/f1/Pramanix_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083234,"Pramanix, Karlan Saintess, is willing to send holy blessings to you as a Supporter Operator.",She doesn't actually feel like working that much.,JC05,Female,161 cm,Normal,Standard,char_174_slbell,629,925,1251,1605,,193,277,356,430,65.0,46,67,89,102,,15,15,20,25,70s,70s,70s,70s,10,10,12,12,1,1,1,1,1.6s,1.6s,1.6s,1.6s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/0/00/Pramanix.png/revision/latest?cb=20190628063249', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/0/03/Pramanix_Elite_2.png/revision/latest?cb=20190628063250', ""Caster's Frost"": 'https://static.wikia.nocookie.net/mrfz/images/e/ed/Pramanix_Skin_1.png/revision/latest?cb=20200201081840'}",6 months,Kjerag,February 13th,Feline,Medical tests have confirmed that no infection is present.,Normal,Excellent,Standard,Outstanding
Projekt Red,Specialist,Executor,S.W.E.E.P.,5-star,Melee,"['Fast-Redeploy', 'Crowd-Control']",Significantly reduced Redeployment Time,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/c/cf/Projekt_Red_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083234,"Projekt Red the Wolf Hunter, Specialist Operator of Rhodes Island, will join the hunt.",Her blades are her fangs.,SW01,Female,162 cm,Outstanding,Standard,char_144_red,703,938,1172,1505,,204,301,413,530,75.0,135,194,253,302,,0,0,0,0,18s,18s,18s,18s,7,7,9,9,1,1,1,1,0.93s,0.93s,0.93s,0.93s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/9/9e/Projekt_Red.png/revision/latest?cb=20190724201601', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/2/28/Projekt_Red_Elite_2.png/revision/latest?cb=20190724201633', 'Light Breeze LB01': 'https://static.wikia.nocookie.net/mrfz/images/d/d0/Projekt_Red_Skin_1.png/revision/latest?cb=20210803142514'}",9 years,Undisclosed,August 25th,Lupo,Non-infected as confirmed by medical report.,Standard,Normal,Outstanding,Normal
Provence,Sniper,Heavyshooter,Siracusa,5-star,Ranged,['DPS'],High accuracy point-blank shot,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/9/9a/Provence_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083235,"Provence, Catastrophe Messenger of Rhodes Island, always keeps an eye on the movements of Catastrophes and the enemy.",She also keeps an eye on everyone's health.,SR03,Female,162 cm,Excellent,Normal,char_145_prove,716,995,1276,1680,,332,456,601,781,90.0,81,117,156,215,,0,0,0,0,70s,70s,70s,70s,15,15,17,19,1,1,1,1,1.6s,1.6s,1.6s,1.6s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/b/bd/Provence.png/revision/latest?cb=20190724201736', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/5/52/Provence_Elite_2.png/revision/latest?cb=20190724201805', 'Casual Vacation HD008': 'https://static.wikia.nocookie.net/mrfz/images/2/24/Provence_Skin_1.png/revision/latest?cb=20200811102038', 'Wasteland Walker': 'https://static.wikia.nocookie.net/mrfz/images/f/fa/Provence_Skin_2.png/revision/latest?cb=20210713085530'}",1 year,Siracusa‏‎,November 30th,Lupo,"Showed physical signs of Originium, infection confirmed by medical examination.",Normal,Standard,Excellent,Standard
Ptilopsis,Medic,Multi-target,Rhine Lab,5-star,Ranged,"['Healing', 'Support']",Restores the HP of 3 allies simultaneously,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/7/7e/Ptilopsis_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083317,"Ptilopsis, database maintainer of Rhine Lab, activated. Please enter commands to operate.",101010111101000,RL04,Female,164 cm,Normal,Normal,char_128_plosis,751,1016,1271,1610,,122,198,268,335,55.0,71,95,124,150,,0,0,0,0,70s,70s,70s,70s,15,15,17,17,1,1,1,1,2.85s,2.85s,2.85s,2.85s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/e/eb/Ptilopsis.png/revision/latest?cb=20190625063652', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/9/91/Ptilopsis_Elite_2.png/revision/latest?cb=20190625063652', 'Serenity': 'https://static.wikia.nocookie.net/mrfz/images/b/bf/Ptilopsis_Skin_1.png/revision/latest?cb=20200226074745'}",None,Columbia,October 6th,Liberi,"Traces of Originium Crystals have been detected in her body, confirming she is infected.",Normal,Standard,Excellent,Excellent
Quercus,Supporter,Abjurer,Rhodes Island,5-star,Ranged,"['Support', 'Survival']","Deals Arts Damage; When skill is active, focuses on healing allies instead of attacking (healing amount is 75% of this unit's ATK)",[CN] Headhunting,https://static.wikia.nocookie.net/mrfz/images/9/91/Quercus_icon.png/revision/latest/scale-to-width-down/120?cb=20220215105035,"Operator Quercus, traveling around her hometown and catching the voice of the breeze for you.",She can also bring some flowers and homemade snacks to your office table.,R131,Female,174 cm,Standard,Standard,char_492_quercu,658,969,1310,1680,400.0,209,299,384,463,,80,115,151,172,30.0,15,15,20,25,70s,70s,70s,70s,10,10,12,12,1,1,1,1,1.6s,1.6s,1.6s,1.6s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/8/89/Quercus.png/revision/latest?cb=20220215111641', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/a/a8/Quercus_Elite_2.png/revision/latest?cb=20220215111638'}",7 years,Victoria,December 22nd,Feline,Medical tests have confirmed that no infection is present.,Standard,Excellent,Standard,Excellent
Reed,Vanguard,Charger,Victoria,5-star,Melee,"['DPS', 'DP-Recovery']",Obtain 1 DP after this unit defeats an enemy; Refunds the original DP Cost when retreated,Headhunting; Recruitment,https://static.wikia.nocookie.net/mrfz/images/2/2b/Reed_icon.png/revision/latest/scale-to-width-down/120?cb=20200201060352,"Reed, Rhodes Island inpatient, will provide personal assistance to those who are trustworthy.",Using her is more dangerous than protecting her.,HT03,Female,172 cm,Excellent,Standard,char_261_sddrag,870,1209,1550,2215,,240,354,472,562,70.0,164,229,298,364,,0,0,0,0,70s,70s,70s,70s,10,10,12,12,1,1,1,1,1s,1s,1s,1s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/c/c4/Reed.png/revision/latest?cb=20200201060141', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/6/62/Reed_Elite_2.png/revision/latest?cb=20200201060139', 'Emerald Holiday': 'https://static.wikia.nocookie.net/mrfz/images/3/34/Reed_Skin_1.png/revision/latest?cb=20220502081323'}",7 years,Victoria,November 16th,Draco,"Originium crystals are distributed across the surface of her body, confirmed Infected by medical examination.",Excellent,Excellent,Excellent,Outstanding
Robin,Specialist,Trapmaster,Columbia,5-star,Ranged,"['Summon', 'Shift']","Can use traps to assist in combat, but traps cannot be placed on tiles already occupied by an enemy",Mansfield Break (Be Prepared),https://static.wikia.nocookie.net/mrfz/images/6/63/Robin_icon.png/revision/latest/scale-to-width-down/120?cb=20201217072940,"Specialist Operator Robin, a city girl.",Sometimes she'll mimic moves from the movies.,CB08,Female,155 cm,Standard,Standard,char_451_robin,674,899,1139,1442,200.0,232,319,420,513,40.0,68,104,137,166,,0,0,0,0,80s,80s,80s,80s,11,11,13,13,1,1,1,1,0.85s,0.85s,0.85s,0.85s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/1/1b/Robin.png/revision/latest?cb=20201217073223', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/b/b1/Robin_Elite_2.png/revision/latest?cb=20201217073239', 'Gift of Wild': 'https://static.wikia.nocookie.net/mrfz/images/7/72/Robin_Skin_1.png/revision/latest?cb=20211209180802'}",3 years,Columbia,May 18th,Anaty,Medical tests have confirmed that no infection is present.,Standard,Normal,Standard,Standard
Rockrock,Caster,Mech-Accord,Victoria,5-star,Ranged,['DPS'],"Controls a Drone to deal Arts damage to an enemy; When the Drone continuously attacks the same enemy, its damage will increase (up to 110% of the operator's ATK)[note 1]",[CN] Headhunting,https://static.wikia.nocookie.net/mrfz/images/8/87/Rockrock_icon.png/revision/latest/scale-to-width-down/120?cb=20220414062807,"Rockrock, a member of the Londinium Self-Rescue Army.","She wants to retake her home, and she'll keep working hard for it.",VC18,Female,161 cm,Standard,Standard,char_4040_rockr,600,858,1115,1468,,148,209,268,320,,49,75,103,123,,10,10,15,20,70s,70s,70s,70s,19,19,21,21,1,1,1,1,1.3s,1.3s,1.3s,1.3s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/c/c3/Rockrock.png/revision/latest?cb=20220414074832', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/8/8e/Rockrock_Elite_2.png/revision/latest?cb=20220414074828'}",Half a year,Victoria,June 7th,Feline,Medical tests have confirmed that no infection is present.,Standard,Excellent,Standard,Standard
Savage,Guard,Centurion,Rim Billiton,5-star,Melee,"['AoE', 'Nuker']",Attacks all blocked enemies[note 1],Pre-Registration; Anniversaries,https://static.wikia.nocookie.net/mrfz/images/c/c8/Savage_icon.png/revision/latest/scale-to-width-down/120?cb=20190620083319,"Savage, Guard Operator of Rim Billiton, has always been thinking of doing something for you and Amiya.","Whatever you do, don't get her mad.",RB01,Female,160 cm,Standard,Excellent,char_230_savage,1108,1421,1822,2430,,284,395,535,705,,135,193,262,320,40.0,0,0,0,0,70s,70s,70s,70s,18,18,20,22,2,2,2,3,1.2s,1.2s,1.2s,1.2s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/3/39/Savage.png/revision/latest?cb=20190724202513', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/d/d3/Savage_Elite_2.png/revision/latest?cb=20190724202535'}",4 years,Rim Billiton,June 30th,Cautus,Non-infected as confirmed by medical examination.,Excellent,Normal,Standard,Standard
Scene,Supporter,Summoner,Sargon,5-star,Ranged,"['Summon', 'Support']",Deals Arts DamageCan use Summons in battles,Permanent Trade Center (since Contingency Contract Blade),https://static.wikia.nocookie.net/mrfz/images/a/ae/Scene_icon.png/revision/latest/scale-to-width-down/120?cb=20200729093236,"Scene, battlefield photographer, carries out her duties faithfully.",Did she move? Did she?,R162,Female,154 cm,Flawed,Standard,,496,671,872,1105,200.0,194,278,371,432,,67,96,128,155,35.0,15,15,20,20,70s,70s,70s,70s,9,9,11,11,1,1,1,1,1.6s,1.6s,1.6s,1.6s,"{'Base': 'https://static.wikia.nocookie.net/mrfz/images/0/04/Scene.png/revision/latest?cb=20200728202850', 'Elite 2': 'https://static.wikia.nocookie.net/mrfz/images/4/4c/Scene_Elite_2.png/revision/latest?cb=20200728203357'}",None,Sargon,December 31st,Pilosa,Confirmed Infected by medical examination.,Normal,Normal,Normal,Excellent
